Age,ID_Victim,ID_Gender,ID_Country,ID_AgeSet,ID_Category
22,1,1,6,2,2
18,2,1,6,2,2
20,3,1,6,2,2
25,4,1,6,2,2
25,5,1,6,2,2
21,6,1,6,2,2
27,7,1,6,2,2
18,8,1,6,2,2
42,9,1,6,2,2
18,10,1,6,2,2
22,11,1,6,2,2
27,12,1,6,2,2
30,13,1,6,2,2
65,14,1,6,2,2
33,15,1,6,2,2
25,16,1,6,2,2
23,17,1,6,2,2
38,18,1,6,2,2
45,19,2,6,2,2
30,20,1,6,2,2
19,21,1,6,2,2
46,22,1,6,2,2
21,23,1,6,2,2
24,24,1,6,2,2
39,25,1,6,2,2
22,26,1,6,2,2
22,27,1,6,2,2
21,28,1,6,2,2
30,29,1,6,2,2
31,30,1,6,2,2
37,31,1,6,2,2
18,32,1,6,2,2
33,33,1,6,2,2
32,34,1,6,2,2
27,35,2,6,2,2
19,36,1,6,2,2
24,37,1,6,2,2
18,38,1,6,2,2
39,39,1,6,2,2
25,40,1,6,2,2
18,41,1,6,2,2
21,42,1,6,2,2
20,43,1,6,2,2
35,44,1,6,2,2
52,45,1,6,2,2
40,46,1,6,2,2
33,47,1,6,2,2
26,48,1,6,2,2
22,49,1,6,2,2
46,50,1,6,2,2
35,51,1,6,2,2
22,52,1,6,2,2
19,53,1,6,2,2
24,54,1,6,2,2
23,55,1,6,2,2
27,56,1,6,2,2
23,57,1,6,2,2
22,58,1,6,2,2
18,59,1,6,2,2
22,60,1,6,2,2
40,61,1,6,2,2
20,62,1,6,2,2
21,63,1,6,2,2
25,64,1,6,2,2
22,65,1,6,2,2
22,66,1,6,2,2
27,67,1,6,2,2
23,68,1,6,2,2
23,69,1,6,2,2
46,70,1,6,2,2
19,71,1,6,2,2
18,72,1,6,2,2
27,73,1,6,2,2
47,74,1,6,2,2
28,75,1,6,2,2
21,76,1,6,2,2
20,77,1,9,2,1
22,78,1,9,2,1
21,79,1,9,2,1
18,80,2,9,2,1
30,81,1,9,2,1
47,82,1,9,2,1
33,83,1,9,2,1
21,84,1,9,2,1
21,85,1,9,2,1
21,86,1,9,2,1
19,87,1,9,2,1
19,88,1,9,2,1
20,89,1,9,2,1
19,90,1,9,2,1
20,91,1,9,2,1
20,92,1,9,2,1
21,93,1,9,2,1
20,94,1,9,2,1
20,95,1,9,2,1
23,96,2,9,2,1
20,97,1,9,2,1
20,98,2,9,2,1
22,99,2,9,2,1
20,100,2,9,2,1
20,101,1,9,2,1
29,102,1,9,2,1
21,103,1,9,2,1
19,104,2,9,2,1
18,105,1,9,2,1
19,106,1,9,2,1
21,107,1,9,2,1
20,108,1,9,2,1
38,109,1,9,2,1
21,110,1,9,2,1
26,111,1,9,2,1
20,112,1,9,2,1
23,113,1,9,2,1
22,114,1,9,2,1
22,115,1,9,2,1
20,116,1,9,2,1
20,117,1,9,2,1
31,118,1,9,2,1
21,119,1,9,2,1
21,120,1,9,2,1
20,121,1,9,2,1
20,122,1,9,2,1
18,123,1,9,2,1
21,124,1,9,2,1
19,125,1,9,2,1
18,126,1,9,2,1
19,127,1,9,2,1
22,128,1,9,2,1
20,129,1,9,2,1
23,130,1,9,2,1
20,131,1,9,2,1
27,132,1,9,2,1
20,133,1,9,2,1
20,134,1,9,2,1
21,135,1,9,2,1
20,136,1,9,2,1
20,137,1,9,2,1
21,138,1,9,2,1
22,139,1,9,2,1
22,140,1,9,2,1
19,141,1,9,2,1
20,142,1,9,2,1
20,143,1,9,2,1
25,144,1,9,2,1
20,145,1,9,2,1
23,146,1,9,2,1
39,147,1,9,2,1
21,148,1,9,2,1
37,149,1,9,2,1
23,150,1,9,2,1
21,151,1,9,2,1
22,152,1,9,2,1
27,153,1,9,2,1
32,154,1,9,2,1
21,155,1,9,2,1
19,156,1,9,2,1
32,157,1,9,2,1
28,158,1,9,2,1
21,159,1,9,2,1
21,160,1,9,2,1
21,161,1,9,2,1
20,162,1,9,2,1
24,163,1,9,2,1
19,164,1,9,2,1
20,165,1,9,2,1
19,166,1,9,2,1
22,167,1,9,2,1
22,168,1,9,2,1
20,169,1,9,2,1
45,170,1,9,2,1
20,171,1,9,2,1
21,172,1,9,2,1
46,173,1,9,2,1
19,174,1,9,2,1
20,175,1,9,2,1
20,176,1,9,2,1
28,177,1,9,2,1
18,178,1,9,2,1
21,179,1,9,2,1
39,180,1,9,2,1
32,181,1,9,2,1
21,182,1,9,2,1
28,183,1,9,2,1
44,184,1,9,2,1
27,185,1,9,2,1
23,186,1,9,2,1
20,187,1,9,2,1
21,188,1,9,2,1
22,189,1,9,2,1
38,190,1,9,2,1
19,191,1,9,2,1
20,192,1,9,2,1
21,193,1,9,2,1
21,194,1,9,2,1
28,195,1,9,2,1
20,196,1,9,2,1
20,197,1,9,2,1
20,198,1,9,2,1
20,199,1,9,2,1
20,200,1,9,2,1
21,201,1,9,2,1
34,202,1,9,2,1
20,203,1,9,2,1
21,204,1,9,2,1
21,205,1,9,2,1
21,206,1,9,2,1
43,207,1,9,2,1
21,208,1,9,2,1
20,209,1,9,2,1
21,210,1,9,2,1
19,211,1,9,2,1
21,212,1,9,2,1
20,213,1,9,2,1
20,214,1,9,2,1
21,215,1,9,2,1
25,216,1,9,2,1
21,217,1,9,2,1
37,218,1,9,2,1
21,219,1,9,2,1
22,220,1,9,2,1
23,221,1,9,2,1
19,222,1,9,2,1
19,223,1,9,2,1
20,224,1,9,2,1
19,225,1,9,2,1
20,226,1,9,2,1
21,227,1,9,2,1
35,228,1,9,2,1
22,229,1,9,2,1
22,230,1,9,2,1
20,231,1,9,2,1
22,232,1,9,2,1
21,233,1,9,2,1
20,234,1,9,2,1
20,235,1,9,2,1
19,236,1,9,2,1
19,237,2,9,2,1
25,238,1,9,2,1
20,239,1,9,2,1
25,240,1,9,2,1
21,241,1,9,2,1
21,242,1,9,2,1
23,243,1,9,2,1
20,244,1,9,2,1
23,245,1,9,2,1
19,246,1,9,2,1
22,247,1,9,2,1
20,248,1,9,2,1
21,249,1,9,2,1
20,250,1,9,2,1
26,251,1,9,2,1
21,252,1,9,2,1
20,253,1,9,2,1
20,254,1,9,2,1
20,255,1,9,2,1
25,256,1,9,2,1
20,257,1,9,2,1
20,258,1,9,2,1
19,259,1,9,2,1
22,260,1,9,2,1
20,261,2,9,2,1
20,262,2,9,2,1
22,263,1,9,2,1
24,264,1,9,2,1
23,265,1,9,2,1
20,266,1,9,2,1
23,267,1,9,2,1
19,268,2,9,2,1
20,269,1,9,2,1
19,270,2,9,2,1
21,271,1,9,2,1
19,272,1,9,2,1
19,273,1,9,2,1
22,274,1,9,2,1
19,275,2,9,2,1
20,276,1,9,2,1
21,277,1,9,2,1
21,278,2,9,2,1
20,279,1,9,2,1
19,280,2,9,2,1
39,281,1,9,2,1
39,282,1,9,2,1
19,283,2,9,2,1
23,284,1,9,2,1
20,285,1,9,2,1
20,286,1,9,2,1
21,287,1,9,2,1
22,288,1,9,2,1
20,289,2,9,2,1
24,290,1,9,2,1
37,291,1,9,2,1
32,292,1,9,2,1
23,293,1,9,2,1
21,294,1,9,2,1
19,295,1,9,2,1
24,296,1,9,2,1
20,297,1,9,2,1
21,298,1,9,2,1
27,299,1,9,2,1
21,300,1,9,2,1
20,301,1,9,2,1
21,302,1,9,2,1
22,303,1,9,2,1
19,304,1,9,2,1
20,305,1,9,2,1
21,306,1,9,2,1
21,307,1,9,2,1
20,308,1,9,2,1
24,309,1,9,2,1
21,310,1,9,2,1
20,311,1,9,2,1
19,312,1,9,2,1
20,313,1,9,2,1
20,314,1,9,2,1
34,315,1,9,2,1
20,316,2,9,2,1
23,317,1,9,2,1
20,318,1,9,2,1
19,319,2,9,2,1
19,320,1,9,2,1
30,321,1,9,2,1
31,322,1,9,2,1
20,323,1,9,2,1
19,324,1,9,2,1
19,325,1,9,2,1
19,326,1,9,2,1
46,327,1,9,2,1
33,328,1,9,2,1
26,329,1,9,2,1
38,330,1,9,2,1
22,331,1,9,2,1
20,332,1,9,2,1
22,333,1,9,2,1
23,334,1,9,2,1
32,335,1,9,2,1
22,336,1,9,2,1
41,337,1,9,2,1
20,338,2,9,2,1
19,339,2,9,2,1
20,340,1,9,2,1
20,341,2,9,2,1
20,342,1,9,2,1
19,343,2,9,2,1
40,344,1,9,2,1
22,345,1,9,2,1
23,346,1,9,2,1
21,347,1,9,2,1
24,348,1,9,2,1
21,349,1,9,2,1
19,350,1,9,2,1
28,351,1,9,2,1
20,352,1,9,2,1
19,353,2,9,2,1
21,354,1,9,2,1
21,355,1,9,2,1
24,356,1,9,2,1
26,357,1,9,2,1
20,358,1,9,2,1
22,359,1,9,2,1
20,360,1,9,2,1
22,361,1,9,2,1
23,362,1,9,2,1
35,363,1,9,2,1
21,364,1,9,2,1
21,365,1,9,2,1
20,366,1,9,2,1
22,367,1,9,2,1
21,368,1,9,2,1
23,369,1,9,2,1
19,370,1,9,2,1
20,371,1,9,2,1
20,372,1,9,2,1
19,373,2,9,2,1
19,374,1,9,2,1
20,375,2,9,2,1
19,376,2,9,2,1
23,377,1,9,2,1
24,378,1,9,2,1
22,379,1,9,2,1
21,380,1,9,2,1
22,381,1,9,2,1
24,382,1,9,2,1
24,383,1,9,2,1
27,384,1,9,2,1
18,385,2,9,2,1
18,386,2,9,2,1
21,387,1,9,2,1
33,388,1,9,2,1
32,389,1,9,2,1
28,390,1,9,2,1
30,391,1,9,2,1
33,392,1,9,2,1
27,393,1,9,2,1
23,394,1,9,2,1
34,395,1,9,2,1
27,396,1,9,2,1
22,397,1,9,2,1
28,398,1,9,2,1
22,399,1,9,2,1
27,400,1,9,2,1
21,401,1,9,2,1
19,402,1,9,2,1
21,403,1,9,2,1
26,404,1,9,2,1
20,405,1,9,2,1
19,406,1,9,2,1
21,407,1,9,2,1
23,408,1,9,2,1
32,409,1,9,2,1
22,410,1,9,2,1
30,411,1,9,2,1
29,412,1,9,2,1
19,413,1,9,2,1
22,414,1,9,2,1
23,415,1,9,2,1
22,416,1,9,2,1
21,417,1,9,2,1
20,418,1,9,2,1
20,419,2,9,2,1
25,420,1,9,2,1
34,421,1,9,2,1
19,422,1,9,2,1
20,423,1,9,2,1
40,424,1,9,2,1
19,425,1,9,2,1
20,426,1,9,2,1
21,427,1,9,2,1
19,428,1,9,2,1
21,429,1,9,2,1
21,430,1,9,2,1
21,431,1,9,2,1
20,432,1,9,2,1
37,433,1,9,2,1
33,434,1,9,2,1
24,435,1,9,2,1
24,436,1,9,2,1
42,437,1,9,2,1
25,438,1,9,2,1
38,439,1,9,2,1
26,440,1,9,2,1
29,441,1,9,2,1
19,442,1,9,2,1
46,443,1,9,2,1
20,444,1,9,2,1
20,445,1,9,2,1
21,446,2,9,2,1
21,447,1,9,2,1
20,448,1,9,2,1
20,449,1,9,2,1
21,450,1,9,2,1
20,451,1,9,2,1
21,452,1,9,2,1
32,453,1,9,2,1
25,454,1,9,2,1
21,455,1,9,2,1
20,456,1,9,2,1
21,457,1,9,2,1
20,458,1,9,2,1
18,459,2,9,2,1
20,460,2,9,2,1
33,461,1,9,2,1
19,462,1,9,2,1
28,463,1,9,2,1
23,464,1,9,2,1
25,465,1,9,2,1
25,466,1,9,2,1
35,467,1,9,2,1
19,468,1,9,2,1
18,469,1,9,2,1
20,470,1,9,2,1
26,471,1,9,2,1
39,472,1,9,2,1
19,473,1,9,2,1
22,474,1,9,2,1
19,475,2,9,2,1
19,476,2,9,2,1
23,477,1,9,2,1
19,478,1,9,2,1
26,479,1,9,2,1
19,480,1,9,2,1
30,481,1,9,2,1
21,482,1,9,2,1
19,483,1,9,2,1
20,484,1,9,2,1
20,485,1,9,2,1
19,486,2,9,2,1
22,487,1,9,2,1
19,488,1,9,2,1
19,489,1,9,2,1
45,490,1,9,2,1
23,491,1,9,2,1
21,492,1,9,2,1
22,493,1,9,2,1
20,494,1,9,2,1
19,495,1,9,2,1
23,496,1,9,2,1
20,497,1,9,2,1
20,498,1,9,2,1
22,499,1,9,2,1
18,500,2,9,2,1
18,501,1,9,2,1
20,502,2,9,2,1
19,503,2,9,2,1
21,504,2,9,2,1
23,505,1,9,2,1
30,506,1,9,2,1
29,507,1,9,2,1
19,508,1,9,2,1
25,509,1,9,2,1
19,510,1,9,2,1
21,511,1,9,2,1
21,512,1,9,2,1
21,513,1,9,2,1
19,514,1,9,2,1
18,515,1,9,2,1
20,516,1,9,2,1
34,517,1,9,2,1
21,518,1,9,2,1
20,519,1,9,2,1
33,520,1,9,2,1
33,521,1,9,2,1
20,522,1,9,2,1
19,523,1,9,2,1
27,524,1,9,2,1
17,525,1,6,1,2
17,526,1,6,1,2
16,527,1,6,1,2
17,528,1,6,1,2
17,529,1,6,1,2
15,530,2,6,1,2
1,531,1,6,1,2
16,532,1,6,1,2
15,533,1,6,1,2
15,534,1,6,1,2
17,535,1,6,1,2
15,536,1,6,1,2
14,537,1,6,1,2
17,538,1,6,1,2
14,539,2,6,1,2
17,540,1,6,1,2
17,541,1,6,1,2
0,542,1,6,1,2
25,543,1,6,2,2
26,544,1,6,2,2
23,545,1,6,2,2
18,546,1,6,2,2
32,547,1,6,2,2
21,548,1,6,2,2
19,549,1,6,2,2
29,550,1,6,2,2
24,551,1,6,2,2
25,552,1,6,2,2
23,553,1,6,2,2
21,554,1,6,2,2
45,555,1,6,2,2
41,556,1,6,2,2
32,557,1,6,2,2
19,558,1,6,2,2
25,559,1,6,2,2
24,560,1,6,2,2
24,561,1,6,2,2
21,562,1,6,2,2
26,563,1,6,2,2
20,564,1,6,2,2
23,565,1,6,2,2
32,566,1,6,2,2
32,567,1,6,2,2
42,568,1,6,2,2
18,569,1,6,2,2
18,570,1,6,2,2
33,571,1,6,2,2
32,572,1,6,2,2
34,573,1,6,2,2
24,574,1,6,2,2
20,575,1,6,2,2
21,576,1,6,2,2
19,577,1,6,2,2
19,578,1,6,2,2
19,579,1,6,2,2
26,580,1,6,2,2
21,581,1,6,2,2
18,582,1,6,2,2
19,583,1,6,2,2
39,584,1,6,2,2
28,585,1,6,2,2
24,586,1,6,2,2
27,587,1,6,2,2
24,588,1,6,2,2
19,589,1,6,2,2
48,590,1,6,2,2
18,591,1,6,2,2
19,592,1,6,2,2
21,593,1,6,2,2
31,594,1,6,2,2
19,595,1,6,2,2
19,596,1,6,2,2
29,597,1,6,2,2
38,598,1,6,2,2
24,599,1,6,2,2
30,600,1,6,2,2
30,601,1,6,2,2
22,602,1,6,2,2
19,603,1,6,2,2
32,604,1,6,2,2
32,605,1,6,2,2
33,606,1,6,2,2
51,607,1,6,2,2
66,608,1,6,2,2
49,609,1,6,2,2
33,610,1,6,2,2
25,611,1,6,2,2
43,612,1,6,2,2
23,613,1,6,2,2
31,614,1,6,2,2
21,615,1,6,2,2
36,616,1,6,2,2
43,617,1,6,2,2
25,618,1,6,2,2
28,619,1,6,2,2
23,620,1,6,2,2
26,621,1,6,2,2
18,622,1,6,2,2
24,623,1,6,2,2
30,624,1,6,2,2
33,625,1,6,2,2
27,626,1,6,2,2
48,627,1,6,2,2
52,628,1,6,2,2
19,629,1,6,2,2
44,630,2,6,2,2
19,631,2,6,2,2
43,632,2,6,2,2
44,633,1,6,2,2
61,634,1,6,2,2
61,635,2,6,2,2
23,636,1,6,2,2
20,637,1,6,2,2
45,638,1,6,2,2
35,639,1,6,2,2
35,640,1,6,2,2
26,641,2,6,2,2
58,642,1,6,2,2
39,643,1,6,2,2
21,644,1,6,2,2
38,645,1,6,2,2
35,646,1,6,2,2
19,647,1,6,2,2
20,648,1,6,2,2
42,649,1,6,2,2
23,650,1,6,2,2
24,651,1,6,2,2
22,652,1,6,2,2
29,653,1,6,2,2
28,654,1,6,2,2
35,655,1,6,2,2
24,656,1,6,2,2
22,657,1,6,2,2
18,658,1,6,2,2
29,659,1,6,2,2
23,660,1,6,2,2
22,661,1,6,2,2
25,662,1,6,2,2
29,663,1,6,2,2
31,664,1,6,2,2
49,665,1,6,2,2
21,666,1,6,2,2
27,667,1,6,2,2
26,668,1,6,2,2
21,669,1,6,2,2
20,670,1,6,2,2
23,671,1,6,2,2
24,672,1,6,2,2
28,673,1,6,2,2
23,674,1,6,2,2
25,675,1,6,2,2
32,676,1,6,2,2
22,677,1,6,2,2
64,678,1,6,2,2
71,679,1,6,2,2
