Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Total
1977,Palestinian,PSE,Jordan,JOR,672301
1977,Palestinian,PSE,Lebanon,LBN,206521
1977,Palestinian,PSE,Syrian Arab Rep.,SYR,195517
1977,Palestinian,PSE,State of Palestine,PSE,656181
1978,Palestinian,PSE,Jordan,JOR,690298
1978,Palestinian,PSE,Lebanon,LBN,215248
1978,Palestinian,PSE,Syrian Arab Rep.,SYR,200605
1978,Palestinian,PSE,State of Palestine,PSE,672664
1979,Palestinian,PSE,Jordan,JOR,706625
1979,Palestinian,PSE,Lebanon,LBN,223470
1979,Palestinian,PSE,Syrian Arab Rep.,SYR,206045
1979,Palestinian,PSE,State of Palestine,PSE,685793
1980,Palestinian,PSE,Jordan,JOR,723551
1980,Palestinian,PSE,Lebanon,LBN,230105
1980,Palestinian,PSE,Syrian Arab Rep.,SYR,212053
1980,Palestinian,PSE,State of Palestine,PSE,697453
1981,Palestinian,PSE,Jordan,JOR,736920
1981,Palestinian,PSE,Lebanon,LBN,233881
1981,Palestinian,PSE,Syrian Arab Rep.,SYR,216351
1981,Palestinian,PSE,State of Palestine,PSE,707689
1982,Palestinian,PSE,Jordan,JOR,756487
1982,Palestinian,PSE,Lebanon,LBN,239217
1982,Palestinian,PSE,Syrian Arab Rep.,SYR,223122
1982,Palestinian,PSE,State of Palestine,PSE,722965
1983,Palestinian,PSE,Jordan,JOR,771134
1983,Palestinian,PSE,Lebanon,LBN,252593
1983,Palestinian,PSE,Syrian Arab Rep.,SYR,229433
1983,Palestinian,PSE,State of Palestine,PSE,738797
1984,Palestinian,PSE,Jordan,JOR,790430
1984,Palestinian,PSE,Lebanon,LBN,260270
1984,Palestinian,PSE,Syrian Arab Rep.,SYR,240718
1984,Palestinian,PSE,State of Palestine,PSE,775798
1985,Palestinian,PSE,Jordan,JOR,811260
1985,Palestinian,PSE,Lebanon,LBN,267614
1985,Palestinian,PSE,Syrian Arab Rep.,SYR,247991
1985,Palestinian,PSE,State of Palestine,PSE,792997
1986,Palestinian,PSE,Jordan,JOR,834271
1986,Palestinian,PSE,Lebanon,LBN,274878
1986,Palestinian,PSE,Syrian Arab Rep.,SYR,254293
1986,Palestinian,PSE,State of Palestine,PSE,808938
1987,Palestinian,PSE,Jordan,JOR,859689
1987,Palestinian,PSE,Lebanon,LBN,282757
1987,Palestinian,PSE,Syrian Arab Rep.,SYR,261694
1987,Palestinian,PSE,State of Palestine,PSE,828482
1988,Palestinian,PSE,Jordan,JOR,884040
1988,Palestinian,PSE,Lebanon,LBN,292098
1988,Palestinian,PSE,Syrian Arab Rep.,SYR,269142
1988,Palestinian,PSE,State of Palestine,PSE,856639
1989,Palestinian,PSE,Jordan,JOR,916013
1989,Palestinian,PSE,Lebanon,LBN,296871
1989,Palestinian,PSE,Syrian Arab Rep.,SYR,276547
1989,Palestinian,PSE,State of Palestine,PSE,886736
1990,Palestinian,PSE,Jordan,JOR,943819
1990,Palestinian,PSE,Lebanon,LBN,306471
1990,Palestinian,PSE,Syrian Arab Rep.,SYR,284888
1990,Palestinian,PSE,State of Palestine,PSE,931338
1991,Palestinian,PSE,Jordan,JOR,989207
1991,Palestinian,PSE,Lebanon,LBN,315508
1991,Palestinian,PSE,Syrian Arab Rep.,SYR,294050
1991,Palestinian,PSE,State of Palestine,PSE,987508
1992,Palestinian,PSE,Jordan,JOR,1042123
1992,Palestinian,PSE,Lebanon,LBN,324219
1992,Palestinian,PSE,Syrian Arab Rep.,SYR,306042
1992,Palestinian,PSE,State of Palestine,PSE,1055436
1993,Palestinian,PSE,Jordan,JOR,1140199
1993,Palestinian,PSE,Lebanon,LBN,334659
1993,Palestinian,PSE,Syrian Arab Rep.,SYR,321104
1993,Palestinian,PSE,State of Palestine,PSE,1117275
1994,Palestinian,PSE,Jordan,JOR,1239811
1994,Palestinian,PSE,Lebanon,LBN,342121
1994,Palestinian,PSE,Syrian Arab Rep.,SYR,332465
1994,Palestinian,PSE,State of Palestine,PSE,1178777
1995,Palestinian,PSE,Jordan,JOR,1328768
1995,Palestinian,PSE,Lebanon,LBN,349773
1995,Palestinian,PSE,Syrian Arab Rep.,SYR,342507
1995,Palestinian,PSE,State of Palestine,PSE,1224996
1996,Palestinian,PSE,Jordan,JOR,1389603
1996,Palestinian,PSE,Lebanon,LBN,356258
1996,Palestinian,PSE,Syrian Arab Rep.,SYR,352136
1996,Palestinian,PSE,State of Palestine,PSE,1270333
1997,Palestinian,PSE,Jordan,JOR,1437371
1997,Palestinian,PSE,Lebanon,LBN,362098
1997,Palestinian,PSE,Syrian Arab Rep.,SYR,361202
1997,Palestinian,PSE,State of Palestine,PSE,1308438
1998,Palestinian,PSE,Jordan,JOR,1487449
1998,Palestinian,PSE,Lebanon,LBN,367610
1998,Palestinian,PSE,Syrian Arab Rep.,SYR,370035
1998,Palestinian,PSE,State of Palestine,PSE,1348288
1999,Palestinian,PSE,Jordan,JOR,1541405
1999,Palestinian,PSE,Lebanon,LBN,373440
1999,Palestinian,PSE,Syrian Arab Rep.,SYR,378382
1999,Palestinian,PSE,State of Palestine,PSE,1384655
2000,Palestinian,PSE,Jordan,JOR,1609566
2000,Palestinian,PSE,Lebanon,LBN,380072
2000,Palestinian,PSE,Syrian Arab Rep.,SYR,387526
2000,Palestinian,PSE,State of Palestine,PSE,1428891
2001,Palestinian,PSE,Jordan,JOR,1662227
2001,Palestinian,PSE,Lebanon,LBN,384918
2001,Palestinian,PSE,Syrian Arab Rep.,SYR,396248
2001,Palestinian,PSE,State of Palestine,PSE,1483394
2002,Palestinian,PSE,Jordan,JOR,1698271
2002,Palestinian,PSE,Lebanon,LBN,389233
2002,Palestinian,PSE,Syrian Arab Rep.,SYR,405601
2002,Palestinian,PSE,State of Palestine,PSE,1532589
2003,Palestinian,PSE,Jordan,JOR,1740170
2003,Palestinian,PSE,Lebanon,LBN,394532
2003,Palestinian,PSE,Syrian Arab Rep.,SYR,413827
2003,Palestinian,PSE,State of Palestine,PSE,1587920
2004,Palestinian,PSE,Jordan,JOR,1776669
2004,Palestinian,PSE,Lebanon,LBN,399152
2004,Palestinian,PSE,Syrian Arab Rep.,SYR,421737
2004,Palestinian,PSE,State of Palestine,PSE,1634952
2005,Palestinian,PSE,Jordan,JOR,1827877
2005,Palestinian,PSE,Lebanon,LBN,404170
2005,Palestinian,PSE,Syrian Arab Rep.,SYR,432048
2005,Palestinian,PSE,State of Palestine,PSE,1685851
2006,Palestinian,PSE,Jordan,JOR,1858362
2006,Palestinian,PSE,Lebanon,LBN,408438
2006,Palestinian,PSE,Syrian Arab Rep.,SYR,442363
2006,Palestinian,PSE,State of Palestine,PSE,1739266
2007,Palestinian,PSE,Jordan,JOR,1903490
2007,Palestinian,PSE,Lebanon,LBN,413962
2007,Palestinian,PSE,Syrian Arab Rep.,SYR,451467
2007,Palestinian,PSE,State of Palestine,PSE,1793901
2008,Palestinian,PSE,Jordan,JOR,1951603
2008,Palestinian,PSE,Lebanon,LBN,422188
2008,Palestinian,PSE,Syrian Arab Rep.,SYR,461897
2008,Palestinian,PSE,State of Palestine,PSE,1836123
2009,Palestinian,PSE,Jordan,JOR,1983733
2009,Palestinian,PSE,Lebanon,LBN,425640
2009,Palestinian,PSE,Syrian Arab Rep.,SYR,472109
2009,Palestinian,PSE,State of Palestine,PSE,1885188
2010,Palestinian,PSE,Jordan,JOR,1942431
2010,Palestinian,PSE,Lebanon,LBN,430078
2010,Palestinian,PSE,Syrian Arab Rep.,SYR,476801
2010,Palestinian,PSE,State of Palestine,PSE,1841769
2011,Palestinian,PSE,Jordan,JOR,1979580
2011,Palestinian,PSE,Lebanon,LBN,436154
2011,Palestinian,PSE,Syrian Arab Rep.,SYR,486946
2011,Palestinian,PSE,State of Palestine,PSE,1895043
2012,Palestinian,PSE,Jordan,JOR,2034641
2012,Palestinian,PSE,Lebanon,LBN,441543
2012,Palestinian,PSE,Syrian Arab Rep.,SYR,499189
2012,Palestinian,PSE,State of Palestine,PSE,1944544
2013,Palestinian,PSE,Jordan,JOR,2070973
2013,Palestinian,PSE,Lebanon,LBN,447328
2013,Palestinian,PSE,Syrian Arab Rep.,SYR,517255
2013,Palestinian,PSE,State of Palestine,PSE,1994493
2014,Palestinian,PSE,Jordan,JOR,2117361
2014,Palestinian,PSE,Lebanon,LBN,452669
2014,Palestinian,PSE,Syrian Arab Rep.,SYR,528616
2014,Palestinian,PSE,State of Palestine,PSE,2051096
2015,Palestinian,PSE,Jordan,JOR,2144233
2015,Palestinian,PSE,Lebanon,LBN,458369
2015,Palestinian,PSE,Syrian Arab Rep.,SYR,534654
2015,Palestinian,PSE,State of Palestine,PSE,2104001
2016,Palestinian,PSE,Jordan,JOR,2175491
2016,Palestinian,PSE,Lebanon,LBN,463664
2016,Palestinian,PSE,Syrian Arab Rep.,SYR,543014
2016,Palestinian,PSE,State of Palestine,PSE,2158274
2017,Palestinian,PSE,Jordan,JOR,2206736
2017,Palestinian,PSE,Lebanon,LBN,469555
2017,Palestinian,PSE,Syrian Arab Rep.,SYR,551873
2017,Palestinian,PSE,State of Palestine,PSE,2214783
2018,Palestinian,PSE,Jordan,JOR,2242577
2018,Palestinian,PSE,Lebanon,LBN,475075
2018,Palestinian,PSE,Syrian Arab Rep.,SYR,560139
2018,Palestinian,PSE,State of Palestine,PSE,2267747
2019,Palestinian,PSE,Jordan,JOR,2272411
2019,Palestinian,PSE,Lebanon,LBN,476033
2019,Palestinian,PSE,Syrian Arab Rep.,SYR,562312
2019,Palestinian,PSE,State of Palestine,PSE,2319073
2020,Palestinian,PSE,State of Palestine,PSE,2348243
2020,Palestinian,PSE,Jordan,JOR,2307011
2020,Palestinian,PSE,Lebanon,LBN,479537
2020,Palestinian,PSE,Syrian Arab Rep.,SYR,568730
2021,Palestinian,PSE,State of Palestine,PSE,2400208
2021,Palestinian,PSE,Jordan,JOR,2334789
2021,Palestinian,PSE,Lebanon,LBN,482676
2021,Palestinian,PSE,Syrian Arab Rep.,SYR,575234
2022,Palestinian,PSE,State of Palestine,PSE,2454258
2022,Palestinian,PSE,Jordan,JOR,2365090
2022,Palestinian,PSE,Lebanon,LBN,487282
2022,Palestinian,PSE,Syrian Arab Rep.,SYR,580723
2023,Palestinian,PSE,State of Palestine,PSE,2482144
2023,Palestinian,PSE,Jordan,JOR,2379525
2023,Palestinian,PSE,Lebanon,LBN,490636
2023,Palestinian,PSE,Syrian Arab Rep.,SYR,583942
